@RELATION GENERIC
@ATTRIBUTE demo1 REAL
@ATTRIBUTE demo2 {1.000000,0.000000}
@ATTRIBUTE demo3 REAL
@ATTRIBUTE demo4 REAL
@ATTRIBUTE demo5 {1.000000,0.000000}
@ATTRIBUTE psych1 REAL
@ATTRIBUTE psych2 REAL
@ATTRIBUTE psych3 REAL
@ATTRIBUTE psych4 REAL
@ATTRIBUTE psych5 REAL
@ATTRIBUTE psych6 REAL
@ATTRIBUTE psych7 REAL
@ATTRIBUTE psych8 REAL
@ATTRIBUTE psych9 REAL
@ATTRIBUTE psych10 REAL
@ATTRIBUTE psych11 REAL
@ATTRIBUTE psych12 REAL
@ATTRIBUTE psych13 REAL
@ATTRIBUTE psych14 REAL
@ATTRIBUTE psych15 REAL
@ATTRIBUTE psych16 REAL
@ATTRIBUTE psych17 REAL
@ATTRIBUTE history1 REAL
@ATTRIBUTE history2 REAL
@ATTRIBUTE history3 REAL
@ATTRIBUTE history4 REAL
@ATTRIBUTE history5 REAL
@ATTRIBUTE history6 REAL
@ATTRIBUTE history7 REAL
@ATTRIBUTE history8 REAL
@ATTRIBUTE history9 REAL
@ATTRIBUTE history10 REAL
@ATTRIBUTE history11 REAL
@ATTRIBUTE history12 REAL
@ATTRIBUTE history13 REAL
@ATTRIBUTE history14 REAL
@ATTRIBUTE history15 REAL
@ATTRIBUTE history16 REAL
@ATTRIBUTE history17 REAL
@ATTRIBUTE genetic1 REAL
@ATTRIBUTE genetic2 REAL
@ATTRIBUTE genetic3 REAL
@ATTRIBUTE genetic4 REAL
@ATTRIBUTE genetic5 REAL
@ATTRIBUTE genetic6 REAL
@ATTRIBUTE genetic7 REAL
@ATTRIBUTE genetic8 REAL
@ATTRIBUTE genetic9 REAL
@ATTRIBUTE genetic10 REAL
@ATTRIBUTE genetic11 REAL
@ATTRIBUTE genetic12 REAL
@ATTRIBUTE genetic13 REAL
@ATTRIBUTE genetic14 REAL
@ATTRIBUTE genetic15 REAL
@ATTRIBUTE genetic16 REAL
@ATTRIBUTE genetic17 REAL
@ATTRIBUTE brain1 REAL
@ATTRIBUTE brain2 REAL
@ATTRIBUTE brain3 REAL
@ATTRIBUTE brain4 REAL
@ATTRIBUTE brain5 REAL
@ATTRIBUTE brain6 REAL
@ATTRIBUTE class {1.000000,0.000000}
@DATA
15.164384,0.000000,4.000000,12.000000,1.000000,0.031400,88.000000,87.000000,35.000000,24.000000,33.000000,32.000000,2.400000,1.200000,1.200000,1.142857,3.800000,1.000000,1.833333,3.916667,2.750000,3.333333,0.000000,0.250000,0.000000,0.170000,0.000000,0.000000,0.000000,-1.750000,1.380000,-1.000000,-1.000000,-0.800000,-0.670000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,0.000877,0.001913,0.000611,0.000210,0.000076,1.000000
14.975342,1.000000,4.000000,22.000000,1.000000,0.002030,117.000000,130.000000,30.000000,15.000000,23.000000,33.000000,2.400000,3.000000,3.000000,1.571429,3.000000,2.333333,2.583333,3.083333,2.416667,2.583333,0.750000,0.500000,0.330000,0.170000,0.200000,1.000000,0.000000,-1.000000,0.750000,-1.000000,-1.330000,-1.400000,0.000000,0.290000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,2.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,-0.000166,0.000794,0.000040,-0.000254,0.000060,0.000099,1.000000
14.252055,0.000000,2.000000,24.000000,1.000000,0.001110,137.000000,111.000000,22.000000,18.000000,22.000000,34.000000,2.000000,2.000000,2.000000,1.857143,3.000000,0.500000,2.500000,2.083333,2.500000,3.333333,0.750000,0.500000,0.330000,0.170000,0.000000,0.000000,0.430000,-1.000000,1.000000,-1.000000,-0.500000,-1.600000,-0.670000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,2.000000,-0.000224,0.000978,-0.000120,0.000002,-0.000004,0.000011,1.000000
13.912329,1.000000,4.000000,18.000000,0.000000,0.011100,129.000000,111.000000,20.000000,23.000000,26.000000,32.000000,2.000000,2.000000,2.000000,1.857143,3.000000,2.000000,2.166667,2.583333,2.666667,2.666667,0.500000,0.380000,0.000000,0.330000,0.200000,0.670000,0.290000,-1.750000,0.380000,-1.670000,-1.170000,-1.000000,-0.670000,-0.140000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000460,0.000381,-0.000202,0.000058,0.000109,0.000082,1.000000
15.484932,1.000000,5.000000,16.730769,1.000000,0.020200,75.000000,63.000000,26.000000,22.000000,25.000000,29.000000,2.400000,2.200000,2.200000,2.285714,1.800000,1.916667,1.833333,1.666667,2.166667,2.833333,0.250000,0.130000,0.000000,0.330000,0.400000,0.000000,0.140000,-0.750000,0.130000,-0.670000,-1.170000,-1.000000,-0.670000,-0.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001042,0.001907,-0.002352,0.000007,-0.000385,0.000020,1.000000
14.830137,0.000000,4.000000,18.000000,0.000000,0.000686,112.000000,122.000000,18.000000,19.000000,17.000000,34.000000,1.400000,2.400000,2.400000,1.857143,2.800000,1.333333,2.750000,2.083333,2.416667,3.083333,0.500000,0.630000,0.000000,0.170000,0.000000,0.670000,0.000000,-1.250000,0.630000,-1.000000,-0.830000,-1.800000,-0.330000,-0.570000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000726,-0.000254,0.000101,0.001340,0.000070,-0.000035,1.000000
14.158904,0.000000,4.000000,16.000000,1.000000,0.117000,117.000000,117.000000,36.000000,23.000000,32.000000,36.000000,1.000000,2.000000,2.000000,1.428571,3.800000,1.000000,1.833333,1.833333,1.750000,1.666667,0.750000,0.250000,0.000000,0.170000,0.200000,0.670000,0.430000,-1.000000,0.630000,-0.330000,-0.670000,-1.400000,0.000000,0.570000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,2.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000071,0.000290,-0.000468,0.000042,0.000093,0.000089,1.000000
14.131507,1.000000,4.000000,21.000000,1.000000,0.005070,112.000000,115.000000,27.000000,31.000000,38.000000,30.000000,2.000000,2.400000,2.400000,1.142857,3.400000,2.833333,2.750000,2.750000,2.500000,0.666667,0.750000,0.750000,0.330000,0.330000,0.200000,0.000000,0.000000,-1.250000,1.250000,-1.330000,-1.330000,-1.800000,-1.000000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000145,0.000180,0.000046,0.000095,0.000060,0.000050,1.000000
14.087671,1.000000,4.000000,16.000000,1.000000,0.018200,86.000000,105.000000,25.000000,21.000000,28.000000,29.000000,2.400000,2.600000,2.600000,1.857143,3.200000,1.416667,2.333333,3.250000,2.500000,2.083333,0.250000,0.500000,0.000000,0.170000,0.000000,0.330000,0.430000,-0.250000,0.880000,-1.670000,-1.330000,-0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,2.000000,-0.000046,0.000020,0.000116,0.000264,-0.000206,0.000065,1.000000
14.638356,0.000000,3.000000,20.000000,1.000000,0.003040,119.000000,124.000000,26.000000,26.000000,32.000000,35.000000,2.600000,2.400000,2.400000,1.857143,2.600000,1.500000,2.416667,2.250000,2.500000,2.083333,0.750000,0.500000,0.330000,0.500000,0.200000,0.000000,0.140000,-1.500000,0.630000,-1.000000,-0.500000,-1.200000,-0.330000,0.710000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,-0.000721,-0.002811,-0.000252,-0.000313,-0.000011,0.000080,1.000000
